ObjectID,amusement,awe,contentment,excitement,anger,disgust,fear,sadness,something else
arnold-bã¶cklin_dragon-walking-between-rocks,0.0356513075530529,0.05910705775022507,0.14582104980945587,0.01654975116252899,0.07640347629785538,0.07072471082210541,0.049824610352516174,0.21631480753421783,0.3296031057834625
georges-lacombeâ _the-apple-picker,0.04306185990571976,0.13961580395698547,0.14587542414665222,0.048548806458711624,0.056168004870414734,0.09620881080627441,0.095945805311203,0.14590270817279816,0.22867274284362793
william-james-glackens_figures-in-a-park-paris-1895,0.030540285632014275,0.1372094452381134,0.15038393437862396,0.03773205354809761,0.04030768945813179,0.05623897165060043,0.17803339660167694,0.2015547901391983,0.16799934208393097
john-french-sloan_clown-making-up-1909,0.03538001328706741,0.07988518476486206,0.1592182219028473,0.020898431539535522,0.07019929587841034,0.06323935091495514,0.07301682978868484,0.2296544313430786,0.2685081660747528
joaquã­n-sorolla_portrait-of-clothilde-1891,0.04125208407640457,0.10908889025449753,0.1532372236251831,0.035981811583042145,0.06932235509157181,0.08004385232925415,0.0887763723731041,0.18478094041347504,0.23751643300056458
george-luks_seated-nude-1905,0.04669209569692612,0.05691419169306755,0.1559773087501526,0.022060131654143333,0.07544980198144913,0.0808061733841896,0.049074962735176086,0.1713920533657074,0.3416333794593811
joaquã­n-sorolla_street-in-granada,0.058385685086250305,0.11338260769844055,0.16004374623298645,0.0482785701751709,0.06928493082523346,0.08933699876070023,0.07109995931386948,0.1432732194662094,0.24691428244113922
michael-bell_the-transfer-2009,0.04069733992218971,0.09236952662467957,0.1662004292011261,0.02770298533141613,0.060664888471364975,0.07317115366458893,0.07572997361421585,0.19673821330070496,0.26672548055648804
joaquã­n-sorolla_ruins-of-bunol-1894,0.03530381992459297,0.1151692196726799,0.18779833614826202,0.029189355671405792,0.05562322214245796,0.06745807081460953,0.06160963326692581,0.19868260622024536,0.24916577339172363
arnold-bã¶cklin_the-isle-of-the-dead-1880 2,0.03620393946766853,0.07147518545389175,0.1571560502052307,0.019161364063620567,0.07467374205589294,0.06594406068325043,0.057052116841077805,0.22329357266426086,0.29503998160362244
arnold-bã¶cklin_the-lamentations-of-mary-magdalene-on-the-body-of-christ-1868 2,0.04052719473838806,0.08335291594266891,0.17038822174072266,0.02387183904647827,0.0708041787147522,0.06955615431070328,0.05291542038321495,0.20419569313526154,0.2843882441520691
michael-bell_the-ring-2008,0.050381213426589966,0.10603639483451843,0.17482337355613708,0.04098142310976982,0.05846002325415611,0.07917888462543488,0.07145074009895325,0.14851343631744385,0.270174503326416
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907,0.03729179501533508,0.12653449177742004,0.18377234041690826,0.035557329654693604,0.05018527805805206,0.07106567919254303,0.08692334592342377,0.18579015135765076,0.22287949919700623
william-james-glackens_fruit-stand-coney-island,0.05197550728917122,0.07922129333019257,0.15667356550693512,0.03768235445022583,0.07737428694963455,0.0857480987906456,0.06376716494560242,0.1446918547153473,0.30286580324172974
joaquã­n-sorolla_children-in-the-sea-1909,0.03474485129117966,0.07019534707069397,0.19931665062904358,0.019244752824306488,0.06450588256120682,0.05710867419838905,0.032736796885728836,0.19891373813152313,0.3232331871986389
